City_Name,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density,Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year,State,Population_2001,Area_sq_km,Waste_TPD,Waste_kg_per_capita_per_day,Total_Population,SDG 12,Composite Score,Waste_per_capita,Recycling_Efficiency,Circular_Score,CE_Action
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019,Delhi,10306452.0,1483.0,5922.0,0.57,10306452.0,50,68,0.1029452230505706,0.59,53.0,Rethink
